-0.179	-0.463
-0.182	-0.475
-0.185	-0.486
-0.188	-0.498
-0.192	-0.511
-0.195	-0.524
-0.198	-0.538
-0.201	-0.552
-0.204	-0.566
-0.208	-0.580
-0.211	-0.595
-0.214	-0.610
-0.217	-0.625
-0.220	-0.641
-0.224	-0.656
-0.227	-0.672
-0.230	-0.687
-0.233	-0.702
-0.236	-0.717
-0.240	-0.732
-0.243	-0.746
-0.246	-0.760
-0.249	-0.773
-0.253	-0.785
-0.256	-0.797
-0.259	-0.807
-0.262	-0.817
-0.265	-0.825
-0.269	-0.831
-0.272	-0.837
-0.275	-0.840
-0.278	-0.842
-0.281	-0.842
-0.285	-0.840
-0.288	-0.837
-0.291	-0.831
-0.294	-0.822
-0.297	-0.812
-0.301	-0.799
-0.304	-0.784
-0.307	-0.767
-0.310	-0.747
-0.313	-0.725
-0.317	-0.701
-0.320	-0.674
-0.323	-0.646
-0.326	-0.616
-0.329	-0.584
-0.333	-0.551
-0.336	-0.516
-0.339	-0.481
-0.342	-0.444
-0.345	-0.408
-0.349	-0.371
-0.352	-0.335
-0.355	-0.299
-0.358	-0.264
-0.362	-0.230
-0.365	-0.198
-0.368	-0.168
-0.371	-0.140
-0.374	-0.115
-0.378	-0.092
-0.381	-0.072
-0.384	-0.054
-0.387	-0.040
-0.390	-0.028
-0.394	-0.018
-0.397	-0.011
-0.400	-0.006
